"";"nrow1";"nrow2";"size1";"size2";"lv_schema";"cos_schema";"lv_tab";"cos_tab";"col1";"col2";"dist_nrow";"dist_lastused";"dist_size";"decisao"
"118";18;5571;2048;4608;7;0,683772233983162;13;0,590039969154606;13270;38073;3926,5639559289;172800;1810,19335983756;0
"119";7213272;5571;2871808;4608;7;0,552786404500042;18;0,326366930291392;89320;38073;5096614,25386506;1296000;2027416,56301807;0
"120";6816;5571;9216;4608;7;0,683772233983162;8;0,62426542534891;58429;38073;880,347942577252;11059200;3258,34804770761;0
"121";1;5571;2048;4608;7;0,841886116991581;10;0,324479470526801;1296;38073;3938,58477120907;4752000;1810,19335983756;0
"122";1852;5571;7680;4608;9;0,432225026042331;15;0,345930059832271;4290;38073;2629,73011923277;172800;2172,23203180507;0
"123";4;5571;2048;4608;6;0,552786404500042;20;0,636945900908553;14829;38073;3936,46345086551;1382400;1810,19335983756;0
"124";3764321;5571;2683392;4608;7;0,841886116991581;15;0,674604313272016;1862;38073;2657837,61378494;86400;1894186,33173402;0
"125";5;5571;1024;4608;8;0,558058261758408;19;0,463217368741928;21295;38073;3935,75634408432;172800;2534,27070377259;0
"126";0;5571;2048;4608;7;0,841886116991581;16;0,205173861874877;1885;38073;3939,29187799026;11145600;1810,19335983756;0
"127";12;5571;1024;4608;7;0,552786404500042;8;0,676619166618223;5501;38073;3930,80659661602;777600;2534,27070377259;0
"128";15;5571;2048;4608;9;0,432225026042331;15;0,630136639272345;14544;38073;3928,68527627246;0;1810,19335983756;0
"129";0;5571;1024;4608;6;0,552786404500042;7;0,539821006691578;8158;38073;3939,29187799026;1382400;2534,27070377259;0
"130";24656871;5571;2563072;4608;7;0,683772233983162;10;0,757464374963667;51030;38073;17431101,3950639;172800;1809107,24382166;0
"131";0;5571;2048;4608;7;0,683772233983162;11;0,587485676337305;10029;38073;3939,29187799026;11059200;1810,19335983756;0
"132";13;5571;1024;4608;8;0,558058261758408;16;0,480280803493572;11916;38073;3930,09948983483;172800;2534,27070377259;0
"133";2;5571;512;4608;7;0,683772233983162;19;0,368260320524004;15990;38073;3937,87766442788;11059200;2896,3093757401;0
"134";8;5571;2048;4608;9;0,432225026042331;10;0,534621079004483;7047;38073;3933,63502374076;172800;1810,19335983756;0
"135";12;5571;512;4608;8;0,795875854768069;13;0,401910832878325;247;38073;3930,80659661602;4752000;2896,3093757401;0
"136";33300538;5571;3028992;4608;7;0,841886116991581;6;0,352941176470588;1263;38073;23543096,9450823;11145600;2138562,4353121;0
"137";5;5571;2048;4608;7;0,841886116991581;13;0,376082251894223;493;38073;3935,75634408432;86400;1810,19335983756;0
"138";116892;5571;12288;4608;7;0,841886116991581;14;0,52152866630266;8605;38073;78715,8339884677;0;5430,58007951269;0
"139";130435;5571;39680;4608;7;0,552786404500042;8;0,294976012089367;21748;38073;88292,1811260771;345600;24799,6490297746;0
"140";36;5571;1024;4608;8;0,558058261758408;10;0,349208626544032;16174;38073;3913,83603386754;0;2534,27070377259;0
"141";5;5571;2048;4608;7;0,841886116991581;14;0,567210788549452;957;38073;3935,75634408432;4752000;1810,19335983756;0
"142";72539;5571;61440;4608;7;0,552786404500042;12;0,577799669079251;58450;38073;47353,5269225007;0;40186,2925883939;0
"143";21;5571;512;4608;7;0,552786404500042;15;0,512911812952948;53397;38073;3924,44263558534;22204800;2896,3093757401;0
"144";389802;5571;86016;4608;6;0,552786404500042;17;0,570936064710108;35581;38073;271692,345642088;86400;57564,1488428345;0
"145";0;5571;2048;4608;6;0,552786404500042;21;0,659360226517804;7233;38073;3939,29187799026;518400;1810,19335983756;0
"146";24981;5571;2560;4608;7;0,683772233983162;15;0,427841168118279;33625;38073;13724,9426228309;172800;1448,15468787005;0
"147";0;5571;2048;4608;7;0,683772233983162;9;0,579915974791597;9963;38073;3939,29187799026;11059200;1810,19335983756;0
"148";5588486;5571;1500416;4608;8;0,558058261758408;10;0,757464374963667;69326;38073;3947717,05528809;0;1057695,98015309;0
