"";"acesso1";"acesso2";"qtdtabelas1";"qtdtabelas2";"tamgb1";"tamgb2";"qtdlinhas1";"qtdlinhas2";"qtdcolunas1";"qtdcolunas2";"lv_tabelas";"cos_tabelas";"jac_tabelas";"lv_schtab";"cos_schtab";"jac_schtab";"decisao";"id_schema"
"576";21;0;23;10;25,47961426;0,017496245;191401724;58928;266;96;199;0,129400285870964;0,227272727272727;210;0,136038150975232;0,227272727272727;0;576
"577";21;1;23;7;25,47961426;6,84375;191401724;31823603;266;49;233;0,169097163202322;0,173913043478261;241;0,135797107930023;0,173913043478261;0;577
"583";21;0;23;18;25,47961426;0;191401724;357551;266;191;184;0,0470072844834448;0,0909090909090909;193;0,0392189952704436;0,0909090909090909;0;583
"587";21;43;23;103;25,47961426;1113,821533;191401724;4948191785;266;1715;1502;0,0469133984432376;0,166666666666667;1501;0,0440109274364036;0,166666666666667;0;587
"589";3;1;4;7;0,091308594;36,53808594;1508484;178861265;12;49;62;0,295904701876405;0,333333333333333;69;0,253941484080879;0,238095238095238;0;589
"600";3;4;4;12;0,091308594;0,014160156;1508484;1537;12;99;109;0,186557986378584;0,25;116;0,1675685371294;0,15;0;600
"602";3;9;4;13;0,091308594;0,063476563;1508484;177599;12;117;143;0,18343662698749;0,454545454545455;147;0,143557939218655;0,363636363636364;0;602
"603";3;0;4;4;0,091308594;0,010986328;1508484;10597;12;196;46;0,170498104586003;0,388888888888889;52;0,142008021749746;0,315789473684211;0;603
"607";3;4;4;15;0,091308594;6,963623047;1508484;26432122;12;151;213;0,191847906105724;0,318181818181818;214;0,167548524907243;0,227272727272727;0;607
"610";3;0;4;34;0,091308594;0,13671875;1508484;26741;12;204;498;0,25408343840239;0,285714285714286;499;0,233013130139652;0,19047619047619;0;610
"611";3;5;4;48;0,091308594;0,04296875;1508484;187;12;267;745;0,292844533830642;0,375;748;0,262751136505767;0,291666666666667;0;611
"615";3;0;4;15;0,091308594;1,53515625;1508484;13208944;12;254;216;0,228027716436696;0,416666666666667;219;0,20885927695556;0,333333333333333;0;615
"618";3;4;4;33;0,091308594;3,3203125;1508484;7064804;12;227;431;0,264133829388575;0,347826086956522;433;0,222262524531441;0,260869565217391;0;618
"621";3;8;4;54;0,091308594;18,13964844;1508484;101977158;12;915;853;0,185115588046844;0,4;854;0,159160209672917;0,32;0;621
"632";3;112;4;114;0,091308594;53,31005859;1508484;247045695;12;941;1893;0,240084997649491;0,4;1894;0,215807170787527;0,32;0;632
"639";3;203;4;451;0,091308594;3229,061768;1508484;12469817823;12;4621;8345;0,169509557751508;0,444444444444444;8344;0,147424420575838;0,37037037037037;0;639
"645";3;29;4;71;0,091308594;0,123535156;1508484;10526;12;454;1250;0,170248727304897;0,4;1250;0,150985659760558;0,32;0;645
"651";3;0;4;1;0,091308594;0,000244141;1508484;48;12;6;58;0,562814114510832;0,625;62;0,478818861937587;0,5;0;651
"654";3;0;4;9;0,091308594;0,006225586;1508484;27941;12;41;80;0,32189460433113;0,5;85;0,315303294308947;0,409090909090909;0;654
"660";3;0;4;10;0,091308594;0,017496245;1508484;58928;12;96;124;0,18217460010244;0,315789473684211;128;0,186059488112479;0,3;0;660
"661";3;1;4;7;0,091308594;6,84375;1508484;31823603;12;49;62;0,295904701876405;0,333333333333333;69;0,253941484080879;0,238095238095238;0;661
"663";3;0;4;2;0,091308594;0;1508484;129840424;12;187;48;0,145831152843018;0,3125;51;0,164076794416017;0,368421052631579;0;663
"664";3;2;4;7;0,091308594;0,011474609;1508484;62646;12;108;65;0,232825668723966;0,35;71;0,187257350160918;0,25;0;664
"670";3;134;4;158;0,091308594;1159,860352;1508484;8782694323;12;1091;2561;0,172010907631906;0,444444444444444;2561;0,149352520840934;0,37037037037037;0;670
"677";42;6;43;7;1,466552734;108,1806641;8037560;183421331;385;346;518;0,111694976687515;0,28;521;0,105303777465729;0,28;0;677
"679";42;21;43;23;1,466552734;25,47961426;8037560;191401724;385;266;437;0,0550775712026955;0,230769230769231;439;0,0527484952865782;0,230769230769231;0;679
"683";42;182;43;1;1,466552734;1,797607422;8037560;7556996;385;1435;594;0,864629969799499;0,888888888888889;597;0,514010560639042;0,666666666666667;0;683
"687";42;0;43;4;1,466552734;0,010986328;8037560;10597;385;196;554;0,23957588917657;0,48;555;0,217398078875793;0,44;0;687
"692";42;0;43;5;1,466552734;0,004882813;8037560;0;385;78;562;0,16309807534402;0,333333333333333;568;0,196712923455926;0,333333333333333;0;692
"695";42;5;43;48;1,466552734;0,04296875;8037560;187;385;267;581;0,0948009485216778;0;582;0,0929672343704566;0;0;695
"696";42;0;43;8;1,466552734;0,0078125;8037560;0;385;37;502;0,150856377100815;0,25;506;0,154731150191773;0,208333333333333;0;696
"711";42;4;43;19;1,466552734;0,009277344;8037560;1;385;138;431;0,0850832368341807;0,125;437;0,0819485544129529;0,125;0;711
"716";42;112;43;114;1,466552734;53,31005859;8037560;247045695;385;941;1545;0,0781490569491951;0,115384615384615;1548;0,0774329271889691;0,115384615384615;0;716
"717";42;97;43;99;1,466552734;0,277832031;8037560;1068597;385;690;1369;0,0795591817837243;0,115384615384615;1375;0,0784069975848835;0,115384615384615;0;717
"718";42;25;43;86;1,466552734;0,37109375;8037560;4698;385;497;1257;0,0376360559467439;0,08;1260;0,0363381596452413;0,08;0;718
"720";42;0;43;1;1,466552734;7,303710938;8037560;0;385;81;588;0,409954816805611;0,625;589;0,335940890254523;0,458333333333333;0;720
"723";42;203;43;451;1,466552734;3229,061768;8037560;12469817823;385;4621;7836;0,020762262609602;0,111111111111111;7832;0,0200247646053571;0,111111111111111;0;723
"728";42;1;43;55;1,466552734;222,0068359;8037560;1232589939;385;1506;685;0,0934160764417694;0,153846153846154;690;0,0894487504294582;0,153846153846154;0;728
"732";42;0;43;6;1,466552734;6,135742188;8037560;38458211;385;52;540;0,141308409496886;0,166666666666667;540;0,0976071878243429;0,166666666666667;0;732
"733";42;0;43;3;1,466552734;0,001464844;8037560;0;385;12;544;0,0867016166813549;0,333333333333333;551;0,0901923001089722;0,333333333333333;0;733
