"";"acesso1";"acesso2";"qtdtabelas1";"qtdtabelas2";"tamgb1";"tamgb2";"qtdlinhas1";"qtdlinhas2";"qtdcolunas1";"qtdcolunas2";"lv_tabelas";"cos_tabelas";"jac_tabelas";"lv_schtab";"cos_schtab";"jac_schtab";"decisao";"id_schema"
"485";0;0;3;9;0,005859375;0,013427734;0;157469;234;36;88;0,185211558717203;0,315789473684211;93;0,185786102152197;0,333333333333333;0;485
"486";0;0;3;9;0,005859375;0,006225586;0;27941;234;41;83;0,255388254667372;0,4;88;0,265681980209295;0,409090909090909;0;486
"499";0;0;3;18;0,005859375;0;0;357551;234;191;180;0,124367842324217;0,3;182;0,0900841928680397;0,238095238095238;0;499
"501";0;0;3;17;0,005859375;0;0;371368;234;185;165;0,120651769890336;0,3;167;0,0937603283150887;0,238095238095238;0;501
"502";0;134;3;158;0,005859375;1159,860352;0;8782694323;234;1091;2589;0,135622651219042;0,481481481481482;2588;0,112507251143715;0,428571428571429;0;502
"503";0;43;3;103;0,005859375;1113,821533;0;4948191785;234;1715;1702;0,126870677364015;0,363636363636364;1704;0,114211710047681;0,304347826086957;0;503
"510";21;0;23;3;25,47961426;0,005859375;191401724;0;266;234;252;0,104455857015143;0,363636363636364;260;0,0783834306705896;0,304347826086957;0;510
"511";21;3;23;4;25,47961426;0,091308594;191401724;1508484;266;12;236;0,113739704444721;0,318181818181818;247;0,102773850044637;0,227272727272727;0;511
"516";21;4;23;12;25,47961426;0,014160156;191401724;1537;266;99;202;0,0639915184780177;0,0909090909090909;212;0,0642287091101275;0,0909090909090909;0;516
"522";21;0;23;20;25,47961426;0,01953125;191401724;400;266;107;204;0,059124458862283;0,166666666666667;215;0,0444065123398301;0,166666666666667;0;522
"524";21;0;23;5;25,47961426;0,004882813;191401724;0;266;78;252;0,115782425568235;0,272727272727273;262;0,150917755088435;0,272727272727273;0;524
"529";21;0;23;2;25,47961426;0,002685547;191401724;18940;266;11;268;0,188584543369254;0,521739130434783;276;0,2536398396032;0,521739130434783;0;529
"530";21;0;23;7;25,47961426;0,02734375;191401724;300076;266;26;230;0,16383087605283;0,260869565217391;240;0,159126447626027;0,260869565217391;0;530
"532";21;10;23;17;25,47961426;1,505371094;191401724;1572013;266;87;195;0,111756942226031;0,130434782608696;204;0,102789104782453;0,130434782608696;0;532
"540";21;20;23;65;25,47961426;8,503417969;191401724;41627253;266;650;892;0,0571847736702212;0,192307692307692;887;0,0516751718374168;0,192307692307692;0;540
"549";21;97;23;99;25,47961426;0,277832031;191401724;1068597;266;690;1531;0,0851474759586544;0,12;1531;0,0767495824883682;0,12;0;549
"551";21;0;23;2;25,47961426;0,001953125;191401724;1522;266;9;258;0,130176329131055;0,458333333333333;267;0,119622513056974;0,416666666666667;0;551
"559";21;0;23;32;25,47961426;0,12109375;191401724;0;266;693;350;0,0325704169602127;0,16;352;0,0297509381890874;0,16;0;559
"567";21;0;23;1;25,47961426;0,000244141;191401724;48;266;6;277;0,498303672898016;0,681818181818182;286;0,359164882587494;0,545454545454545;0;567
"579";21;0;23;2;25,47961426;0;191401724;129840424;266;187;267;0,164485163586042;0,454545454545455;273;0,162089889889903;0,363636363636364;0;579
"580";21;2;23;7;25,47961426;0,011474609;191401724;62646;266;108;217;0,0799074216416898;0,181818181818182;227;0,0665567597457766;0,181818181818182;0;580
